"County","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Connecticut","09","1999-2003","All","Fetal","Number","Fetal Mortality",1138
"Connecticut","09","1999-2003","All","Fetal","Rate","Fetal Mortality",5.32
"Connecticut","09","1999-2003","All","Infant","Number","Fetal Mortality",1310
"Connecticut","09","1999-2003","All","Infant","Rate","Fetal Mortality",6.13
"Connecticut","09","1999-2003","All","Neonatal","Number","Fetal Mortality",972
"Connecticut","09","1999-2003","All","Neonatal","Rate","Fetal Mortality",4.55
"Connecticut","09","1999-2003","All","Postneonatal","Number","Fetal Mortality",338
"Connecticut","09","1999-2003","All","Postneonatal","Rate","Fetal Mortality",1.58
"Connecticut","09","1999-2003","Black or African American","Fetal","Number","Fetal Mortality",269
"Connecticut","09","1999-2003","Black or African American","Infant","Number","Fetal Mortality",347
"Connecticut","09","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",228
"Connecticut","09","1999-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",239
"Connecticut","09","1999-2003","Other","Fetal","Number","Fetal Mortality",59
"Connecticut","09","1999-2003","Other","Infant","Number","Fetal Mortality",33
"Connecticut","09","1999-2003","White","Fetal","Number","Fetal Mortality",795
"Connecticut","09","1999-2003","White","Infant","Number","Fetal Mortality",896
"Connecticut","09","2000-2004","All","Fetal","Number","Fetal Mortality",1154
"Connecticut","09","2000-2004","All","Fetal","Rate","Fetal Mortality",5.43
"Connecticut","09","2000-2004","All","Infant","Number","Fetal Mortality",1283
"Connecticut","09","2000-2004","All","Infant","Rate","Fetal Mortality",6.04
"Connecticut","09","2000-2004","All","Neonatal","Number","Fetal Mortality",941
"Connecticut","09","2000-2004","All","Neonatal","Rate","Fetal Mortality",4.43
"Connecticut","09","2000-2004","All","Postneonatal","Number","Fetal Mortality",342
"Connecticut","09","2000-2004","All","Postneonatal","Rate","Fetal Mortality",1.61
"Connecticut","09","2000-2004","Black or African American","Fetal","Number","Fetal Mortality",280
"Connecticut","09","2000-2004","Black or African American","Infant","Number","Fetal Mortality",360
"Connecticut","09","2000-2004","Hispanic or Latino","Fetal","Number","Fetal Mortality",234
"Connecticut","09","2000-2004","Hispanic or Latino","Infant","Number","Fetal Mortality",251
"Connecticut","09","2000-2004","Other","Fetal","Number","Fetal Mortality",54
